contract_type;symbol;date_time;strike;last_price;bid;ask;change;% Change;colume;open_interest;implied_volatility
C;TSLA200320C00010000;2020-02-05 10:43AM EDT;10.00;734.90;717.15;721.00;0.00;-;2;0;0.00%
C;TSLA200320C00015000;2020-02-05 11:07AM EDT;15.00;751.70;674.15;682.55;0.00;-;5;0;0.00%
C;TSLA200320C00020000;2020-02-27 11:20AM EDT;20.00;591.40;662.85;671.10;0.00;-;-;0;0.00%
C;TSLA200320C00025000;2020-02-06 11:15AM EDT;25.00;743.35;662.60;671.65;0.00;-;6;0;0.00%
C;TSLA200320C00030000;2020-03-05 2:41PM EDT;30.00;605.45;576.10;591.15;0.00;-;2;0;0.00%
C;TSLA200320C00035000;2020-03-03 12:45PM EDT;35.00;728.50;655.00;662.75;0.00;-;1;0;0.00%
C;TSLA200320C00040000;2020-03-05 11:26AM EDT;40.00;703.50;645.85;652.75;0.00;-;3;0;0.00%
C;TSLA200320C00045000;2020-03-03 10:40AM EDT;45.00;741.90;654.20;663.65;0.00;-;1;0;0.00%
C;TSLA200320C00050000;2020-03-09 12:12PM EDT;50.00;588.45;593.40;594.30;0.00;-;-;5;0.00%
C;TSLA200320C00055000;2020-03-10 10:38AM EDT;55.00;579.65;552.35;565.80;0.00;-;2;0;0.00%
C;TSLA200320C00060000;2020-03-10 9:49AM EDT;60.00;589.05;547.50;564.30;0.00;-;7;0;0.00%
C;TSLA200320C00065000;2020-03-02 1:39PM EDT;65.00;708.65;542.50;559.35;0.00;-;8;0;0.00%
C;TSLA200320C00070000;2020-02-05 11:44AM EDT;70.00;689.50;620.00;627.85;0.00;-;-;1;1,882.47%
C;TSLA200320C00075000;2020-03-04 1:59PM EDT;75.00;558.80;531.15;548.00;0.00;-;1;0;0.00%
C;TSLA200320C00080000;2020-03-10 9:49AM EDT;80.00;563.39;617.00;629.00;0.00;-;3;0;1,911.13%
C;TSLA200320C00085000;2020-03-10 12:53PM EDT;85.00;546.50;555.85;558.55;0.00;-;2;0;0.00%
C;TSLA200320C00090000;2020-03-10 2:58PM EDT;90.00;552.05;553.20;558.55;0.00;-;1;0;500.98%
C;TSLA200320C00095000;2020-02-04 11:34AM EDT;95.00;765.05;0.00;0.00;0.00;-;1;0;0.00%
C;TSLA200320C00100000;2020-03-09 12:48PM EDT;100.00;511.95;548.50;552.60;0.00;-;1;0;681.54%
C;TSLA200320C00105000;2019-06-20 11:31AM EDT;105.00;120.78;154.80;157.75;0.00;-;4;2;0.00%
C;TSLA200320C00110000;2020-02-04 11:34AM EDT;110.00;693.05;0.00;0.00;0.00;-;1;0;0.00%
C;TSLA200320C00115000;2020-02-03 2:12PM EDT;115.00;642.05;628.70;636.95;0.00;-;1;0;2,375.59%
C;TSLA200320C00120000;2020-02-03 2:12PM EDT;120.00;629.15;625.00;632.90;0.00;-;2;0;2,243.12%
C;TSLA200320C00125000;2020-03-10 9:34AM EDT;125.00;527.10;206.50;210.20;+354.43;+205.26%;1;2;0.00%
C;TSLA200320C00130000;2020-03-09 12:48PM EDT;130.00;507.05;561.20;566.65;0.00;-;2;0;1,166.70%
C;TSLA200320C00135000;2019-10-25 12:44PM EDT;135.00;182.79;193.10;197.25;0.00;-;10;1;0.00%
C;TSLA200320C00140000;2020-02-04 10:33AM EDT;140.00;702.90;0.00;0.00;0.00;-;1;0;0.00%
C;TSLA200320C00145000;2020-02-05 12:55PM EDT;145.00;615.75;544.20;550.75;0.00;-;2;0;1,062.21%
C;TSLA200320C00150000;2020-02-04 11:19AM EDT;150.00;744.05;0.00;0.00;0.00;-;2;0;0.00%
C;TSLA200320C00155000;2020-02-10 1:09PM EDT;155.00;610.07;488.55;493.55;0.00;-;1;0;376.66%
C;TSLA200320C00160000;2020-02-10 1:09PM EDT;160.00;605.04;527.70;534.15;0.00;-;2;0;973.14%
C;TSLA200320C00165000;2020-01-22 3:08PM EDT;165.00;416.07;732.10;740.45;0.00;-;1;0;0.00%
C;TSLA200320C00170000;2020-03-09 10:30AM EDT;170.00;469.50;517.50;524.20;0.00;-;2;0;929.32%
C;TSLA200320C00175000;2020-03-04 3:03PM EDT;175.00;445.30;468.30;473.60;0.00;-;1;10;338.96%
C;TSLA200320C00180000;2020-02-05 2:26PM EDT;180.00;542.00;507.30;514.95;0.00;-;4;0;892.07%
C;TSLA200320C00185000;2020-03-10 11:35AM EDT;185.00;426.60;507.50;513.90;0.00;-;4;0;911.04%
C;TSLA200320C00190000;2020-02-05 10:48AM EDT;190.00;511.00;537.45;542.55;0.00;-;1;0;1,169.95%
C;TSLA200320C00195000;2020-03-09 10:34AM EDT;195.00;443.25;533.30;536.60;0.00;-;3;0;1,143.51%
C;TSLA200320C00200000;2020-03-04 3:08PM EDT;200.00;538.95;496.65;510.85;0.00;-;1;334;917.40%
C;TSLA200320C00205000;2020-03-09 2:29PM EDT;205.00;414.65;481.20;489.00;0.00;-;9;0;797.33%
C;TSLA200320C00210000;2020-03-06 4:50PM EDT;210.00;498.65;487.00;499.60;0.00;-;1;281;877.97%
C;TSLA200320C00215000;2020-03-09 2:29PM EDT;215.00;404.75;473.85;480.40;0.00;-;20;0;781.42%
C;TSLA200320C00220000;2020-02-26 2:08PM EDT;220.00;575.70;470.25;479.00;0.00;-;2;0;784.12%
C;TSLA200320C00225000;2020-03-09 1:58PM EDT;225.00;395.25;464.15;470.40;0.00;-;8;0;753.20%
C;TSLA200320C00230000;2020-03-09 1:58PM EDT;230.00;390.30;467.40;479.80;0.00;-;10;639;814.77%
C;TSLA200320C00235000;2020-02-28 2:20PM EDT;235.00;418.23;375.30;387.30;0.00;-;1;0;0.00%
C;TSLA200320C00240000;2020-03-10 2:45PM EDT;240.00;400.15;367.20;382.35;0.00;-;1;0;0.00%
C;TSLA200320C00245000;2020-03-09 3:30PM EDT;245.00;369.25;363.10;380.45;0.00;-;10;0;0.00%
C;TSLA200320C00250000;2020-03-09 9:32AM EDT;250.00;367.00;362.90;377.10;0.00;-;1;0;0.00%
C;TSLA200320C00255000;2020-02-24 2:31PM EDT;255.00;578.58;438.05;444.20;0.00;-;1;0;698.21%
C;TSLA200320C00260000;2020-03-09 2:56PM EDT;260.00;362.05;385.15;390.30;0.00;-;2;0;295.22%
C;TSLA200320C00265000;2020-03-09 9:49AM EDT;265.00;351.12;379.40;385.15;0.00;-;1;0;279.44%
C;TSLA200320C00270000;2020-03-10 2:12PM EDT;270.00;363.88;427.45;441.50;0.00;-;6;0;709.81%
C;TSLA200320C00275000;2020-03-10 2:26PM EDT;275.00;354.80;338.15;352.40;0.00;-;5;0;0.00%
C;TSLA200320C00280000;2020-03-10 2:26PM EDT;280.00;349.85;417.30;431.50;0.00;-;4;0;685.08%
C;TSLA200320C00285000;2020-03-03 2:47PM EDT;285.00;405.48;360.35;361.70;0.00;-;4;0;221.39%
C;TSLA200320C00290000;2020-03-10 2:46PM EDT;290.00;353.35;397.90;406.05;0.00;-;1;0;594.87%
C;TSLA200320C00295000;2020-03-10 10:30AM EDT;295.00;346.25;318.35;332.70;0.00;-;3;0;0.00%
C;TSLA200320C00300000;2020-03-10 3:59PM EDT;300.00;346.00;397.00;412.50;0.00;-;22;0;641.44%
C;TSLA200320C00305000;2020-03-10 10:25AM EDT;305.00;337.92;387.05;391.45;0.00;-;1;0;576.82%
C;TSLA200320C00310000;2020-03-09 1:34PM EDT;310.00;319.15;387.40;402.50;0.00;-;1;0;621.06%
C;TSLA200320C00315000;2020-03-05 2:27PM EDT;315.00;299.38;329.80;331.35;0.00;-;1;0;172.27%
C;TSLA200320C00320000;2020-03-09 10:56AM EDT;320.00;314.97;376.70;393.80;0.00;-;11;0;601.93%
C;TSLA200320C00325000;2020-03-06 2:59PM EDT;325.00;365.05;372.35;387.65;0.00;-;15;0;590.72%
C;TSLA200320C00330000;2020-03-09 2:59PM EDT;330.00;313.65;366.90;383.95;0.00;-;2;0;582.90%
C;TSLA200320C00335000;2020-03-09 11:58AM EDT;335.00;303.45;311.65;313.85;0.00;-;5;0;220.58%
C;TSLA200320C00340000;2020-03-09 2:57PM EDT;340.00;286.20;305.80;308.50;0.00;-;4;0;205.57%
C;TSLA200320C00345000;2020-02-28 1:19PM EDT;345.00;307.00;264.60;277.85;0.00;-;12;0;0.00%
C;TSLA200320C00350000;2020-03-09 9:32AM EDT;350.00;284.32;262.85;276.15;0.00;-;5;0;0.00%
C;TSLA200320C00355000;2020-02-28 11:54AM EDT;355.00;285.50;290.85;293.60;0.00;-;4;0;194.63%
C;TSLA200320C00360000;2020-03-10 2:46PM EDT;360.00;284.30;284.40;286.40;0.00;-;2;0;124.61%
C;TSLA200320C00365000;2020-02-06 11:12AM EDT;365.00;374.05;327.00;333.15;0.00;-;1;0;473.80%
